1336641832,60.012,122.349
1336641834,59.986,122.584
1336641835,60.002,122.249
1336641836,60.011,122.58
1336641837,59.988,122.252
1336641838,60.027,122.731
1336641839,60.011,122.244
1336641840,59.988,122.768
1336641841,60.027,122.249
1336641842,60.012,122.86
1336641843,59.987,122.246
1336641844,60.026,122.942
1336641845,60.009,122.613
1336641847,59.99,122.911
1336641848,60.023,122.504
1336641849,60.006,122.67
1336641850,59.993,122.384
1336641851,60.023,122.588
1336641852,60.008,122.434
1336641853,59.991,122.462
1336641854,60.027,122.482
1336641855,60.016,122.513
1336641856,60.009,122.688
1336641857,59.995,122.581
1336641859,60.027,122.88
1336641860,60.021,122.687
1336641861,60.01,122.934
1336641862,59.989,122.373
1336641863,59.999,122.709
1336641864,60.027,122.279
1336641865,60.015,122.784
1336641866,60.01,122.232
1336641867,59.995,122.731
1336641868,60.027,122.256
1336641869,60.023,122.875
1336641870,60.011,122.272
1336641872,59.988,123.01
1336641873,59.998,122.269
1336641874,60.027,122.936
1336641875,60.021,122.445
1336641876,60.01,122.928
1336641877,59.989,122.403
1336641878,59.999,122.465
1336641879,60.027,122.453
1336641880,60.02,122.635
1336641881,60.011,122.315
1336641882,59.988,122.434
1336641884,59.998,122.47
1336641885,60.027,122.503
1336641886,60.027,122.443
1336641887,60.021,122.382
1336641888,60.016,122.558
1336641889,60.013,122.386
1336641890,59.991,122.668
1336641891,59.998,122.489
1336641892,60.027,123.033
1336641893,60.023,122.564
1336641894,60.011,122.999
1336641895,59.988,122.492
1336641897,60,122.966
1336641898,60.02,122.251
1336641899,60.007,122.526
1336641900,59.993,122.253
1336641901,60.026,122.864
1336641902,60.009,122.242
1336641903,59.99,122.776
1336641904,60.027,122.204
1336641905,60.008,122.609
1336641906,59.99,122.188
1336641907,60.02,122.7
1336641909,59.979,122.196
1336641910,59.997,122.564
1336641911,60.016,122.357
1336641912,59.983,122.661
1336641913,59.997,122.445
1336641914,60.02,122.616
1336641915,60.005,122.661
1336641916,59.995,122.714
1336641917,60.02,122.646
1336641918,60.004,122.6
1336641919,59.995,122.605
1336641920,60.023,122.349
1336641922,60.007,122.42
1336641923,59.992,122.228
1336641924,60.022,122.605
1336641925,60.004,122.229
1336641926,59.995,122.721
1336641927,60.018,122.323
1336641928,59.981,123.004
1336641929,60,122.293
1336641930,60.012,122.931
1336641931,59.987,122.212
1336641932,60.021,122.883
1336641934,59.978,122.214
1336641935,59.998,122.836
1336641936,60.012,122.302
1336641937,59.987,122.901
1336641938,60.023,122.242
1336641939,60.003,122.888
1336641940,59.996,122.254
1336641941,60.011,122.664
1336641942,59.988,122.268
1336641943,60.02,122.632
1336641944,59.979,122.323
1336641945,59.999
1336641947,60.005,122.391
1336641948,59.994,122.563
1336641949,60.007,122.494
1336641950,59.992,122.561
1336641951,60.004,122.607
1336641952,59.994,122.541
1336641953,59.978,122.793
1336641954,59.993,122.596
1336641955,59.978,122.757
1336641956,60.016,122.491
1336641957,59.983,122.802
1336641959,60.01,122.215
1336641960,59.989,122.551
1336641961,60.004,122.153
1336641962,59.994,122.45
1336641963,59.978,122.14
1336641964,59.992,122.618
1336641965,59.982,122.144
1336641966,60.006,122.813
1336641967,59.989,122.131
1336641968,59.978,122.789
1336641969,60.009,122.213
1336641971,59.99,122.811
1336641972,59.978,122.262
1336641973,59.989,122.857
1336641974,59.983,122.328
1336641975,59.978,122.695
1336641976,59.99,122.366
1336641977,59.98,122.613
1336641978,59.978,122.566
1336641979,59.987,122.65
1336641980,59.984,122.429
1336641981,59.978,122.491
1336641982,59.985,122.499
1336641984,59.984,122.399
1336641985,59.978,122.549
1336641986,60.004,122.444
1336641987,59.985,122.619
1336641988,59.983,122.321
1336641989,59.978,122.678
1336641990,60.004,122.309
1336641991,59.984,122.76
1336641992,59.983,122.178
1336641993,59.978,122.895
1336641994,60.005,122.178
1336641996,59.986,122.878
1336641997,59.98,122.178
1336641998,59.978,122.605
1336641999,59.987,122.058
1336642000,59.988,122.514
1336642001,59.978,122.189
1336642002,60.007,122.764
1336642003,59.987,122.268
1336642004,59.978,122.855
1336642005,59.978,122.325
1336642006,59.983,122.743
1336642007,59.984,122.376
1336642009,59.978,122.673
1336642010,59.978,122.363
1336642011,60.003,122.74
1336642012,59.982,122.526
1336642013,59.981,122.575
1336642014,59.978,122.509
1336642015,59.978,122.568
1336642016,60.01,122.567
1336642017,59.986,122.447
1336642018,59.978,122.602
1336642019,60.003,122.382
1336642021,59.989,122.611
1336642022,59.98,122.29
1336642023,59.978,122.759
1336642024,59.99,122.24
1336642025,59.98,122.704
1336642026,60.005,122.259
1336642027,59.99,122.932
1336642028,59.978,122.36
1336642029,60.009,123.005
1336642030,59.99,122.251
1336642031,59.978,123.09
1336642032,60.013,122.28
1336642034,59.986,122.992
1336642035,59.978,122.278
1336642036,59.992,122.972
1336642037,59.98,122.4
1336642038,60.009,122.844
1336642039,59.99,122.334
1336642040,60.003,122.743
1336642041,59.995,122.324
1336642042,59.981,122.618
1336642043,59.996,122.263
1336642044,59.978,122.456
1336642046,59.995,122.257
1336642047,59.978,122.377
1336642048,59.994,122.465
1336642049,59.98,122.54
1336642050,60.016,122.689
1336642051,59.982,122.527
1336642052,60.01,122.794
1336642053,59.989,122.524
1336642054,60.006,122.902
1336642055,59.993,122.353
1336642056,60.003,122.77
1336642057,59.995,122.318
1336642059,59.978,122.801
1336642060,59.996,122.298
1336642061,59.978,123.013
1336642062,59.997,122.236
1336642063,59.978,123.089
1336642064,59.998,122.218
1336642065,60.004,122.785
1336642066,59.995,122.21
1336642067,60.005,122.727
1336642068,59.994,122.213
1336642069,60.01,122.548
1336642071,59.989,122.244
1336642072,60.014,122.727
1336642073,59.985,122.389
1336642074,60.022,122.756
1336642075,59.978,122.528
1336642076,59.998,122.829
1336642077,60.003,122.45
1336642078,59.996,122.517
1336642079,60.005,122.39
1336642080,59.994,122.472
1336642081,59.978,122.473
1336642082,59.993,122.422
1336642084,59.978,122.46
1336642085,60.015,122.261
1336642086,59.984,122.536
1336642087,60.01,122.177
1336642088,59.989,122.681
1336642089,60.004,122.234
1336642090,59.993,122.635
1336642091,59.978,122.077
1336642092,59.993,122.762
1336642093,59.982,122.145
1336642094,60.006,122.921
1336642096,59.992,122.074
1336642097,59.978,122.724
1336642098,60.011,122.095
1336642099,59.989,122.676
1336642100,59.978,122.121
1336642101,60.01,122.822
1336642102,59.989,122.146
1336642103,59.979,122.621
1336642104,60.008,122.228
1336642105,59.986,122.642
1336642106,59.978,122.302
1336642107,59.978
1336642109,60.007,122.444
1336642110,59.983,122.624
1336642111,59.981,122.526
1336642112,59.978,122.566
1336642113,59.978,122.413
1336642114,59.981,122.395
1336642115,59.98,122.454
1336642116,59.98,122.306
1336642117,59.978,122.588
1336642118,59.978,122.301
1336642119,59.978,122.572
1336642121,59.978,122.328
1336642122,59.954,122.75
1336642123,59.977,122.287
1336642124,59.977,122.676
1336642125,59.976,122.161
1336642126,59.976,122.858
1336642127,59.976,122.088
1336642128,59.977,122.546
1336642129,59.978,122.022
1336642130,59.978,122.798
1336642131,59.978,122.033
1336642133,59.978,122.506
1336642134,59.978,122.055
1336642135,59.978,122.337
1336642136,59.978,121.977
1336642137,59.978,122.528
