1340011455,60.01,122.818
1340011456,59.989,122.799
1340011457,60.003,122.82
1340011458,59.992,123.211
1340011459,59.978,123.2
1340011460,60.013,123.227
1340011461,59.986,123.235
1340011462,60.007,123.228
1340011463,59.992,123.22
1340011464,60.003,123.199
1340011465,59.996,123.203
1340011466,59.978,123.194
1340011467,59.994,123.191
1340011468,59.978,123.205
1340011469,59.997,123.217
1340011470,59.978,123.191
1340011471,59.994,123.199
1340011472,59.98,123.193
1340011473,60.015,123.229
1340011474,59.985,123.207
1340011475,60.007,123.204
1340011476,59.992,123.204
1340011477,59.978,123.199
1340011478,60.013,123.09
1340011479,59.986,123.151
1340011480,59.978,123.17
1340011481,60.01,123.145
1340011482,59.986,123.157
1340011483,59.986,123.162
1340011484,60.004,123.168
1340011485,59.985,123.161
1340011486,59.983,123.175
1340011487,59.978,123.156
1340011488,59.978,123.195
1340011489,59.983,123.185
1340011490,59.983,123.17
1340011491,59.978,123.14
1340011492,59.978,123.177
1340011493,60.005,123.192
1340011494,59.982,123.194
1340011495,59.983,123.205
1340011496,59.978,123.188
1340011497,59.978,123.198
1340011498,60.008,123.191
1340011499,59.984,123.219
1340011500,59.98,123.216
1340011501,59.978,123.219
1340011502,59.978,123.209
1340011503,59.982,123.189
1340011504,59.98,123.209
1340011505,59.981,123.095
1340011506,59.978,123.139
1340011507,59.978,123.174
1340011508,60.006,123.185
1340011509,59.981,123.17
1340011510,59.982,123.18
1340011511,59.978,123.194
1340011512,59.978,123.202
1340011513,59.978,123.2
1340011514,59.981,123.187
1340011515,59.984,123.2
1340011516,59.978,123.225
1340011517,59.978,123.194
1340011518,60.006,123.183
1340011519,59.983,123.168
1340011520,59.983,123.175
1340011521,59.978,123.191
1340011522,60.006,123.168
1340011523,59.984,123.189
1340011524,59.981,123.168
1340011525,59.978,123.144
1340011526,60.004,123.175
1340011527,59.986,123.163
1340011528,59.982,122.982
1340011529,59.978,122.966
1340011530,60.012,123.09
1340011531,59.988,123.079
1340011532,59.978,123.084
1340011533,60.009,123.114
1340011534,59.988,123.123
1340011536,59.978
1340011537,60.009,123.117
1340011538,59.988,123.112
1340011539,59.978,123.097
